4294A REV1.11
"DATE: Dec 21 2017"
"Trace A: inductance, Trace B: resistance"

"MEASURE PARAMETER: Ls - Rs"
"ADAPTER: NONE"
"SWEEP TYPE: LIN FREQ"
"NUMBER of POINTS: 201"
"POINT DELAY TIME:  0 Sec"
"SWEEP DELAY TIME:  0 Sec"
"OSC LEVEL:  500 mVolt"
"DC BIAS: OFF"
"BW: 1"
"SWEEP AVERAGING: OFF"
"POINT AVERAGING: OFF"


"TRACE: A"
"FORMAT: LINEAR"

"Frequency"	"Data Trace Real"	"Data Trace Imag"
1.00000000000e+05	3.206007e-04	0.000000e+00
1.09500000000e+05	3.205010e-04	0.000000e+00
1.19000000000e+05	3.205894e-04	0.000000e+00
1.28500000000e+05	3.207314e-04	0.000000e+00
1.38000000000e+05	3.210191e-04	0.000000e+00
1.47500000000e+05	3.211764e-04	0.000000e+00
1.57000000000e+05	3.212307e-04	0.000000e+00
1.66500000000e+05	3.216121e-04	0.000000e+00
1.76000000000e+05	3.217577e-04	0.000000e+00
1.85500000000e+05	3.218577e-04	0.000000e+00
1.95000000000e+05	3.222258e-04	0.000000e+00
2.04500000000e+05	3.224658e-04	0.000000e+00
2.14000000000e+05	3.229604e-04	0.000000e+00
2.23500000000e+05	3.232188e-04	0.000000e+00
2.33000000000e+05	3.237686e-04	0.000000e+00
2.42500000000e+05	3.242234e-04	0.000000e+00
2.52000000000e+05	3.245939e-04	0.000000e+00
2.61500000000e+05	3.251469e-04	0.000000e+00
2.71000000000e+05	3.256204e-04	0.000000e+00
2.80500000000e+05	3.259998e-04	0.000000e+00
2.90000000000e+05	3.265546e-04	0.000000e+00
2.99500000000e+05	3.271129e-04	0.000000e+00
3.09000000000e+05	3.276568e-04	0.000000e+00
3.18500000000e+05	3.282538e-04	0.000000e+00
3.28000000000e+05	3.289096e-04	0.000000e+00
3.37500000000e+05	3.294524e-04	0.000000e+00
3.47000000000e+05	3.301782e-04	0.000000e+00
3.56500000000e+05	3.308732e-04	0.000000e+00
3.66000000000e+05	3.316361e-04	0.000000e+00
3.75500000000e+05	3.322966e-04	0.000000e+00
3.85000000000e+05	3.329598e-04	0.000000e+00
3.94500000000e+05	3.338213e-04	0.000000e+00
4.04000000000e+05	3.345803e-04	0.000000e+00
4.13500000000e+05	3.354683e-04	0.000000e+00
4.23000000000e+05	3.363270e-04	0.000000e+00
4.32500000000e+05	3.372557e-04	0.000000e+00
4.42000000000e+05	3.382031e-04	0.000000e+00
4.51500000000e+05	3.391961e-04	0.000000e+00
4.61000000000e+05	3.400506e-04	0.000000e+00
4.70500000000e+05	3.410701e-04	0.000000e+00
4.80000000000e+05	3.422024e-04	0.000000e+00
4.89500000000e+05	3.431573e-04	0.000000e+00
4.99000000000e+05	3.441381e-04	0.000000e+00
5.08500000000e+05	3.453172e-04	0.000000e+00
5.18000000000e+05	3.464949e-04	0.000000e+00
5.27500000000e+05	3.476106e-04	0.000000e+00
5.37000000000e+05	3.488113e-04	0.000000e+00
5.46500000000e+05	3.501116e-04	0.000000e+00
5.56000000000e+05	3.513163e-04	0.000000e+00
